Transaction_ID,Date,Product_Category,Product_Name,Sales_Amount,Quantity,Unit_Price,Discount_Pct,Region,Sales_Rep,Payment_Method,Profit
TXN-1001,2024-03-03,Sports,Yoga Mat Premium,70.0,2,35.0,0.0,Central,Amara Silva,Credit Card,21.12
TXN-1002,2024-01-08,Sports,Yoga Mat Premium,56.0,2,35.0,0.2,Western,Amara Silva,Bank Transfer,11.59
TXN-1003,2024-06-15,Home & Kitchen,Air Purifier HEPA Filter,103.99,1,129.99,0.2,Eastern,Dinithi Jayasinghe,Bank Transfer,27.33
TXN-1004,2024-02-10,Home & Kitchen,Espresso Coffee Machine,1245.0,5,249.0,0.0,Northern,Nimal Fernando,Cash on Delivery,371.31
TXN-1005,2024-04-07,Electronics,4K Ultra Gaming Monitor,1258.2,4,349.5,0.1,Western,Nimal Fernando,Cash on Delivery,460.72
TXN-1006,2024-05-17,Home & Kitchen,Non-Stick Cookware Set,449.75,5,89.95,0.0,Western,Dinithi Jayasinghe,Credit Card,136.75
TXN-1007,2024-04-02,Home & Kitchen,Air Purifier HEPA Filter,519.96,5,129.99,0.2,Eastern,Amara Silva,Credit Card,47.39
TXN-1008,2024-02-29,Electronics,Smartphone Pro X,3239.96,4,899.99,0.1,Western,Dinithi Jayasinghe,Cash on Delivery,550.63
TXN-1009,2024-02-23,Home & Kitchen,Espresso Coffee Machine,1419.3,6,249.0,0.05,Southern,Kasun Perera,Bank Transfer,486.99
TXN-1010,2024-03-10,Home & Kitchen,Air Purifier HEPA Filter,493.96,4,129.99,0.05,Eastern,Amara Silva,Cash on Delivery,159.91
TXN-1011,2024-04-12,Electronics,Smartphone Pro X,3599.96,4,899.99,0.0,Southern,Kasun Perera,Bank Transfer,1040.36
TXN-1012,2024-04-11,Home & Kitchen,Non-Stick Cookware Set,512.72,6,89.95,0.05,Northern,Amara Silva,Cash on Delivery,145.14
TXN-1013,2024-05-29,Electronics,4K Ultra Gaming Monitor,1118.4,4,349.5,0.2,Northern,Rohan De Silva,PayPal,198.8
TXN-1014,2024-01-24,Apparel,Running Performance Shoes,361.0,4,95.0,0.05,Western,Kasun Perera,Bank Transfer,113.28
TXN-1015,2024-04-08,Sports,Yoga Mat Premium,89.25,3,35.0,0.15,Northern,Rohan De Silva,PayPal,18.98
TXN-1016,2024-01-03,Home & Kitchen,Air Purifier HEPA Filter,519.96,5,129.99,0.2,Western,Rohan De Silva,Cash on Delivery,50.59
TXN-1017,2024-02-10,Sports,Yoga Mat Premium,210.0,6,35.0,0.0,Northern,Kasun Perera,Cash on Delivery,82.17
TXN-1018,2024-06-09,Home & Kitchen,Air Purifier HEPA Filter,311.98,3,129.99,0.2,Southern,Rohan De Silva,Bank Transfer,26.32
TXN-1019,2024-05-15,Electronics,4K Ultra Gaming Monitor,1992.15,6,349.5,0.05,Western,Rohan De Silva,Cash on Delivery,612.58
TXN-1020,2024-03-19,Home & Kitchen,Espresso Coffee Machine,249.0,1,249.0,0.0,Central,Kasun Perera,Bank Transfer,65.78
TXN-1021,2024-01-18,Home & Kitchen,Non-Stick Cookware Set,179.9,2,89.95,0.0,Eastern,Amara Silva,Bank Transfer,54.62
TXN-1022,2024-05-15,Sports,Yoga Mat Premium,224.0,8,35.0,0.2,Eastern,Dinithi Jayasinghe,Bank Transfer,60.75
TXN-1023,2024-06-20,Home & Kitchen,Air Purifier HEPA Filter,467.96,4,129.99,0.1,Southern,Dinithi Jayasinghe,PayPal,140.49
TXN-1024,2024-01-06,Electronics,Wireless Noise-Cancel Headphones,759.96,4,199.99,0.05,Eastern,Rohan De Silva,Bank Transfer,309.74
TXN-1025,2024-06-10,Home & Kitchen,Non-Stick Cookware Set,359.8,4,89.95,0.0,Western,Amara Silva,Credit Card,156.8
TXN-1026,2024-03-12,Electronics,Smartphone Pro X,5399.94,6,899.99,0.0,Northern,Amara Silva,Bank Transfer,1874.69
TXN-1027,2024-04-14,Sports,Adjustable Dumbbell Set,1140.0,8,150.0,0.05,Central,Kasun Perera,Credit Card,291.69
TXN-1028,2024-04-29,Sports,Yoga Mat Premium,220.5,7,35.0,0.1,Western,Kasun Perera,Credit Card,64.99
TXN-1029,2024-02-18,Apparel,Cotton Casual Hoodie,270.0,6,45.0,0.0,Eastern,Dinithi Jayasinghe,Bank Transfer,108.07
TXN-1030,2024-01-20,Apparel,Cotton Casual Hoodie,121.5,3,45.0,0.1,Northern,Rohan De Silva,Credit Card,34.76
TXN-1031,2024-03-01,Electronics,Smartphone Pro X,899.99,1,899.99,0.0,Central,Dinithi Jayasinghe,PayPal,238.25
TXN-1032,2024-02-12,Home & Kitchen,Espresso Coffee Machine,846.6,4,249.0,0.15,Northern,Kasun Perera,PayPal,119.03
